date,station_id,actual_snow_mm,actual_category,forecast_probability,ensemble_score,regional_score,global_score,event_type,lead_time,primary_driver,forecast_hit
2019-12-14,eagle_river_wi,28.700000000000003,significant,85,0.6054951456310679,0.8171428571428571,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2008-12-03,eagle_river_wi,6.3,trace,70,0.5638888888888888,0.8055555555555555,0.0,LAKE EFFECT,12-48 hours,Regional,True
2017-02-10,eagle_river_wi,11.200000000000001,trace,70,0.48004686976899896,0.6379310344827586,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2005-12-14,eagle_river_wi,21.0,significant,70,0.5966095581605049,0.8522993688007213,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2006-05-12,eagle_river_wi,53.9,major,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2000-01-02,eagle_river_wi,46.2,significant,85,0.702,0.7457142857142857,0.6,LAKE EFFECT,12-48 hours,Regional,True
2006-01-25,eagle_river_wi,14.7,trace,70,0.4117647058823529,0.5882352941176471,0.0,LAKE EFFECT,12-48 hours,Regional,True
2014-04-24,phelps_wi,5.95,trace,70,0.5039416058394159,0.7199165797705942,0.0,LAKE EFFECT,12-48 hours,Regional,True
2023-04-30,phelps_wi,15.96,trace,70,0.5665192083818392,0.8093131548311989,0.0,LAKE EFFECT,12-48 hours,Regional,True
2008-03-14,eagle_river_wi,5.6000000000000005,trace,70,0.4482777276825969,0.6403967538322813,0.0,LAKE EFFECT,12-48 hours,Regional,True
2021-12-01,eagle_river_wi,5.6000000000000005,trace,85,0.6374951456310679,0.8628571428571429,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2000-12-18,eagle_river_wi,15.4,trace,70,0.5334896302975654,0.7621280432822363,0.0,LAKE EFFECT,12-48 hours,Regional,True
2011-04-04,eagle_river_wi,22.400000000000002,significant,70,0.5587376014427411,0.7981965734896302,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2022-02-06,eagle_river_wi,7.7,trace,70,0.5234951456310679,0.7000000000000001,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2017-12-30,eagle_river_wi,5.6000000000000005,trace,55,0.25199999999999995,0.35999999999999993,0.0,LAKE EFFECT,12-48 hours,Regional,True
2020-11-01,eagle_river_wi,16.8,trace,70,0.42,0.6,0.0,QUIET,12-48 hours,Regional,True
2002-11-01,eagle_river_wi,8.4,trace,10,0.0,0.0,0.0,QUIET,N/A,None,False
2007-12-24,eagle_river_wi,12.6,trace,70,0.5524256086564472,0.7891794409377818,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2002-01-15,eagle_river_wi,6.3,trace,70,0.508,0.7257142857142858,0.0,LAKE EFFECT,12-48 hours,Regional,True
2016-03-22,eagle_river_wi,9.8,trace,70,0.46479999999999994,0.6639999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2009-02-13,eagle_river_wi,8.4,trace,70,0.49485878199470423,0.659090909090909,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2014-12-22,eagle_river_wi,22.400000000000002,significant,85,0.7684466019417475,1.0,0.22815533980582528,LAKE EFFECT,12-48 hours,Regional,True
2013-01-20,eagle_river_wi,12.6,trace,70,0.5074452554744525,0.7249217935349322,0.0,LAKE EFFECT,12-48 hours,Regional,True
2001-03-21,eagle_river_wi,18.9,trace,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2024-11-21,phelps_wi,5.39,trace,70,0.424,0.6057142857142858,0.0,REGIONAL SYSTEM,12-48 hours,Regional,True
2002-12-01,eagle_river_wi,12.6,trace,55,0.3243333333333333,0.4633333333333333,0.0,LAKE EFFECT,12-48 hours,Regional,True
2015-02-07,eagle_river_wi,9.1,trace,70,0.4271532846715328,0.6102189781021897,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2016-12-17,eagle_river_wi,44.1,significant,85,0.6215999999999999,0.8879999999999999,0.0,LAKE EFFECT,12-48 hours,Regional,True
2014-01-03,eagle_river_wi,8.4,trace,85,0.7,1.0,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2007-01-28,eagle_river_wi,6.3,trace,40,0.21,0.3,0.0,QUIET,12-48 hours,Regional,True
2004-01-05,eagle_river_wi,6.3,trace,70,0.4223333333333333,0.6033333333333333,0.0,ALBERTA CLIPPER,12-48 hours,Regional,True
2001-01-18,eagle_river_wi,5.6000000000000005,trace,70,0.49583333333333335,0.7083333333333334,0.0,LAKE EFFECT,12-48 hours,Regional,True
2014-02-16,eagle_river_wi,21.7,significant,85,0.7334951456310679,1.0,0.11165048543689321,ALBERTA CLIPPER,12-48 hours,Regional,True
2002-02-10,eagle_river_wi,12.6,trace,55,0.3694951456310679,0.4799999999999999,0.11165048543689321,LAKE EFFECT,12-48 hours,Regional,True
2004-12-10,eagle_river_wi,38.5,significant,55,0.39943421493136927,0.5206896551724138,0.11650485436893203,LAKE EFFECT,12-48 hours,Regional,True
2017-01-29,eagle_river_wi,11.200000000000001,trace,55,0.38599999999999995,0.5514285714285714,0.0,LAKE EFFECT,12-48 hours,Regional,True
2005-03-07,eagle_river_wi,10.5,trace,55,0.29714430894308935,0.4244918699186991,0.0,LAKE EFFECT,12-48 hours,Regional,True
2025-01-16,eagle_river_wi,6.3,trace,55,0.35291666666666666,0.5041666666666667,0.0,LAKE EFFECT,12-48 hours,Regional,True
